law,raw_budget,method_a,method_b,paired_rejection_rate_difference_a_minus_b,pointwise_95_lower,pointwise_95_upper,a_only_rejections,b_only_rejections,paired_repetitions
balanced_independent,512,binary_full_u_joint,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_full_u_joint,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_full_u_joint,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hoeffding,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hybrid,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hybrid,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hybrid,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hybrid,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hybrid,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_hybrid,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hoeffding,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hoeffding,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hoeffding,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hoeffding,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hoeffding,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hybrid,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hybrid,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hybrid,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_hybrid,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_profiled_betting64,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_profiled_betting64,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,stratified_profiled_betting64,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_betting64,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,binary_stratified_betting64,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,512,direct_four_row_betting64,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,binary_full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,binary_full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_hoeffding,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,binary_full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,binary_full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_eb,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,binary_full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,binary_full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,full_u_joint,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,binary_full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_eb,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_full_u_joint,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hoeffding,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hybrid,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hybrid,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hybrid,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hybrid,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hybrid,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_hybrid,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hoeffding,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hoeffding,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hoeffding,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hoeffding,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hoeffding,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hybrid,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hybrid,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hybrid,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_hybrid,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_profiled_betting64,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_profiled_betting64,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,stratified_profiled_betting64,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_betting64,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,binary_stratified_betting64,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,2048,direct_four_row_betting64,binary_all_raw_pair_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,binary_full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,binary_full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,binary_stratified_hoeffding,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,binary_stratified_hybrid,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,stratified_profiled_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,binary_stratified_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,direct_four_row_betting64,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_hoeffding,binary_all_raw_pair_betting64,-0.002,-0.04890170576018138,0.044901705760181376,0,1,500
balanced_independent,8192,full_u_eb,full_u_joint,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
balanced_independent,8192,full_u_eb,binary_full_u_eb,0.0,-0.04098087701097818,0.04098087701097818,0,0,500
